Date,Heads,Day_Result,Total_Bets,Total_Hands
2022-01-01,28,3907.5120788846493,65761.86697879975,2893
2022-01-02,13,895.78398908957,53142.64631801288,2762
2022-01-03,10,145.24018575233947,9289.057611572818,733
2022-01-04,18,590.6587677193186,18403.753856516152,1627
2022-01-05,14,-1160.2400090944752,40205.377510360915,2194
2022-01-06,10,-297.4596104755341,24611.271134878105,1921
2022-01-07,27,5693.159582681846,83906.60611367048,2819
2022-01-08,25,3931.8844984240814,80859.83802414592,4495
2022-01-09,18,1046.5613423708169,45494.47576885928,3476
2022-01-10,9,-1200.9865046093053,37908.12668053524,1501
2022-01-11,11,-3035.1131179789677,28182.182971180762,1413
2022-01-12,9,-664.4248829197231,20283.02137112686,1532
2022-01-13,11,773.902501640445,18833.311385215056,1589
2022-01-14,18,591.2410504005487,63491.22066459447,4042
2022-01-15,25,-1754.716514171484,78945.80744897392,3737
2022-01-16,16,-1036.9460538409123,57661.16044641744,3512
2022-01-17,15,-1607.0560985267284,21742.854748008987,729
2022-01-18,10,495.3345188979344,13140.296096751725,1084
2022-01-19,14,1229.2166659673953,34974.26945760149,1184
2022-01-20,17,810.5705398957878,19777.705534156354,1742
2022-01-21,29,1508.951338154659,46344.09422759731,2034
2022-01-22,26,6520.534054960213,75559.96060729586,5004
2022-01-23,25,693.9823777991419,52954.673012833184,3182
2022-01-24,12,2360.4217247626766,46579.954690259015,959
2022-01-25,10,3217.202225721311,36431.689656699986,1723
2022-01-26,11,1457.3578158197538,21701.937793761397,2125
2022-01-27,12,1625.00504812047,20364.384993601187,1617
2022-01-28,29,-1236.0063142658757,66395.21994689031,3188
2022-01-29,26,2501.781027264338,117048.98733851632,3739
2022-01-30,15,1979.930337870333,56621.48742953881,3282
2022-01-31,17,-2239.927105395682,34533.53893295919,842
2022-02-01,12,7133.866981855685,58702.87068592696,2273
2022-02-02,14,1137.3888369112615,36179.92257284884,1944
2022-02-03,12,-406.9464411406548,15417.402842599018,1364
